Well,Date,Oil,Gas,Water,InjGas,InjWtr
SCU_44A-08,8/1/1982,1,1,10,,
SRU_14-15,6/1/1983,1,59026,80,,
SCU_41B-09,10/1/1992,1,401,2,,
SCU_21-08,9/1/1994,1,1371,1219,,
SCU_21-08,10/1/1994,1,1128,1046,,
SCU_343-33,11/1/1995,1,2929,725,,
SCU_23B-03,10/1/1996,1,186,5,,
SCU_13-04,9/1/1997,1,15,,,
SCU_43A-05,9/1/1997,1,15,,,
SRU_23-15,7/1/2003,1,8,13,,
SCU_32B-09,1/1/2014,1,17,146,,
SRU_14A-33,9/1/2014,1,109,,,
SCU_24-09,11/1/2015,1,88,372,,
SCU_24A-09,11/1/2015,1,88,372,,
SCU_314-03,12/1/1995,2,351360,89,,
SCU_13-04,6/1/1997,2,27,,,
SCU_43A-05,6/1/1997,2,27,,,
SCU_314-03,2/1/1998,2,1362,44,,
SCU_34-09,12/1/1999,2,19,22,,
SCU_34-09,4/1/2007,2,,143,,
SCU_33-05,8/1/2007,2,64,34,,
SCU_343-33,5/1/2008,2,7,,,
SCU_32B-09,9/1/2014,2,1,1161,,
SCU_332-04,10/1/2014,2,128,,,
SCU_332-04,11/1/2014,2,131,,,
SRU_14A-33,1/1/2017,2,254,,,
SCU_24-09,4/1/2017,2,146,317,,
SCU_24A-09,4/1/2017,2,146,317,,
SRU_34-10,9/1/1967,3,1,33,,
SRU_34-10,10/1/1967,3,1,257,,
SCU_13-04,8/1/1997,3,34,,,
SCU_43A-05,8/1/1997,3,34,,,
SCU_23A-09,11/1/2000,3,992,3,,
SRU_21-27,2/1/2006,3,12,46,,
SRU_21-27,4/1/2006,3,25,32,,
SCU_343-33,12/1/2006,3,1,,,
SCU_32B-09,9/1/2013,3,10,116,,
SCU_24-09,1/1/2016,3,167,906,,
SCU_24A-09,1/1/2016,3,167,906,,
SRU_331-27,7/1/1970,4,550,394,,
SCU_41B-09,8/1/1995,4,989,1,,
SCU_23A-09,7/1/2000,4,55725,16,,
SCU_42-04,7/1/2005,4,,12,,
SCU_12A-04,11/1/2006,4,3,,,
SCU_343-33,8/1/2007,4,17,,,
SCU_33-05,11/1/2007,4,924,74,,
SCU_33-05,5/1/2009,4,58,36,,
SCU_33-05,1/1/2014,4,2,49,,
SRU_14A-33,8/1/2014,4,245,,,
SCU_43-09,2/1/1982,5,647,8,,
SRU_43A-15,6/1/1982,5,1053,39,,
SRU_12-27,1/1/1996,5,162,68,,
SRU_23-15,10/1/1996,5,289,134,,
SCU_21A-04,9/1/1998,5,144643,419,,
SCU_343-33,9/1/2005,5,,120,,
SRU_21-27,3/1/2006,5,59,73,,
SCU_343-33,11/1/2007,5,71,,,
SRU_23-33,8/1/2009,5,,3,,
SCU_44-04,12/1/2011,5,1723,592,,
SCU_32B-09,2/1/2014,5,21,249,,
SCU_32B-09,3/1/2014,5,1,138,,
SCU_43-09,6/1/1983,6,572,2,,
SCU_24-34,2/1/1986,6,656,2,,
SRU_21-22,6/1/1990,6,,137,,
SCU_343-33,4/1/2007,6,,,,
SCU_343-33,9/1/2007,6,74,,,
SCU_31-08,1/1/2015,6,371,50,,
SCU_332-04,6/1/2016,6,42,,,
SCU_12-03,6/1/1968,7,27,713,,
SCU_12A-10,4/1/1987,7,1094,1,,
SCU_12A-10,5/1/1987,7,1041,1,,
SCU_42A-05,11/1/2000,7,4,198,,
SCU_13-09,11/1/2001,7,1676,11,,
SCU_24-09,9/1/2015,7,150,537,,
SCU_24A-09,9/1/2015,7,150,537,,
SCU_13-34,5/1/1983,8,705,2,,
SCU_13-09,3/1/1985,8,672,,,
SCU_21-08,3/1/1993,8,932,17,,
SCU_23B-03,2/1/1998,8,1989,50,,
SCU_343-33,4/1/2008,8,47,,,
SCU_33-05,3/1/2009,8,,53,,
SCU_33-05,11/1/2013,8,5,107,,
SCU_24-09,10/1/2014,8,139,806,,
SCU_24A-09,10/1/2014,8,139,806,,
SCU_24-09,6/1/2015,8,110,366,,
SCU_24A-09,6/1/2015,8,110,366,,
SRU_212-27,8/1/2015,8,,,,
SCU_341-04,1/1/2000,9,162183,4263,,
SCU_21A-04,4/1/2003,9,97132,299,,
SRU_41-33,2/1/2006,9,50,222,,
SRU_212-27,7/1/2015,9,,,,
SRU_12-27,11/1/1971,10,39,1000,,
SCU_41B-09,12/1/1989,10,,993,,
SCU_341-04,7/1/2000,10,56122,1169,,
SCU_33-05,11/1/2001,10,446,13,,
SCU_42-04,4/1/2005,10,353,44,,
SRU_21-22,8/1/2006,10,,345,,
SCU_42-05,2/1/1977,11,,,,
SRU_43A-15,12/1/1981,11,1941,78,,
SCU_21A-04,8/1/1998,11,139288,568,,
SCU_323-04,9/1/1998,11,2,3,,
SCU_343-33,10/1/2005,11,,267,,
SCU_12A-04,2/1/2009,11,,,,
SCU_32B-09,2/1/2013,11,1097,1185,,
SCU_33-05,3/1/2014,11,,398,,
SRU_14A-33,2/1/2017,11,,,,
SRU_12-27,5/1/1975,12,641,700,,
SRU_21-22,11/1/1986,12,362,106,,
SCU_21-08,7/1/1996,12,551,,,
SCU_31-08,10/1/2002,12,74,14,,
SCU_21A-04,8/1/2003,12,75081,229,,
SCU_21A-04,11/1/2003,12,23794,141,,
SCU_343-33,10/1/2006,12,13,,,
SCU_33-05,7/1/2007,12,50,148,,
SCU_43B-08,2/1/2013,12,13872,15,,
SCU_32B-09,10/1/2014,12,,779,,
SCU_12-03,8/1/1968,13,34,1381,,
SCU_32A-09,3/1/1988,13,1015,1,,
SCU_23B-03,3/1/1998,13,3334,93,,
SCU_21A-04,7/1/1998,13,203039,508,,
SCU_323-04,10/1/1998,13,2,3,,
SCU_31-08,4/1/2001,13,1675,11,,
SCU_33-05,9/1/2007,13,2327,180,,
SCU_32B-09,12/1/2013,13,209,1504,,
SCU_32B-09,4/1/2016,13,156,366,,
SRU_21-22,4/1/2016,13,178,1371,,
SRU_41A-15,8/1/1982,14,179,75,,
SCU_34-09,12/1/1985,14,1071,1,,
SCU_314-04,9/1/2000,14,37543,,607492,
SCU_13-04,5/1/2002,14,1733,,,
SCU_43A-05,5/1/2002,14,1733,,,
SCU_21A-04,10/1/2003,14,61784,344,,
SCU_34-09,10/1/2006,14,,540,,
SCU_33-05,2/1/2008,14,2366,253,,
SCU_32B-09,10/1/2013,14,81,1426,,
SCU_32B-09,4/1/2014,14,441,42,,
SCU_21C-04,12/1/2014,14,22,,,
SCU_12A-04,5/1/2006,15,,,,
SCU_343-33,7/1/2009,15,,,,
SCU_32B-09,8/1/2013,15,135,1737,,
SCU_33-05,12/1/2013,15,8,212,,
SCU_33-05,2/1/2014,15,3,202,,
SRU_21-22,1/1/2016,15,209,1506,,
SRU_14A-33,10/1/2016,15,3,57,,
SCU_314-03,1/1/1996,16,302044,,,
SCU_21A-04,3/1/1998,16,224649,244,,
SCU_33-05,6/1/2006,16,205,32,,
SCU_24-09,9/1/2014,16,240,1715,,
SCU_24A-09,9/1/2014,16,240,1715,,
SCU_24-09,8/1/2016,16,410,1243,,
SCU_24A-09,8/1/2016,16,410,1243,,
SCU_21A-04,4/1/1998,17,193417,277,,
SCU_13-09,4/1/1999,17,2468,1,,
SCU_21A-04,6/1/2003,17,81459,227,,
SCU_314-04,10/1/2003,17,68037,16,,
SCU_22-04,7/1/2014,17,48,79,,
SRU_14A-33,7/1/2016,17,3,68,,
SCU_12-03,7/1/1968,18,,1802,,
SRU_12-27,10/1/1972,18,14,1782,,
SCU_34-08,5/1/1984,18,796,73,,
SCU_34-09,6/1/2005,18,,1618,,
SCU_12A-04,10/1/2006,18,1,,,
SCU_24-09,2/1/2015,18,60,670,,
SCU_24A-09,2/1/2015,18,60,670,,
SCU_32B-09,11/1/2015,18,187,443,,
SCU_43-09,5/1/1983,19,1692,6,,
SCU_41B-09,4/1/1993,19,5072,2,,
